style,medal,beer,brewery,state
Adambier,Ouro,Kaptain Lisa,Stannis Cervejaria,SC
Adambier,Prata,Karsten Adambier,Cervejaria Karsten,SC
Adambier,Bronze,Scotti,Don Moss,SC
Aged Beer,Ouro,Tripel,OPA Bier,SC
Aged Beer,Prata,The Legend of Eisbock,Salva Craft Beer,RS
Aged Beer,Bronze,O Julgamento 2021,Cervejaria Três Santas,ES
American-Belgo-Style Ale,Ouro,Uma canção praieira,Cervejaria Três Santas,ES
American-Belgo-Style Ale,Prata,O espaço aberto,Cervejaria Três Santas,ES
American-Belgo-Style Ale,Bronze,Tripa Belga,Salva Craft Beer,RS
American-Style Amber Lager,Ouro,LassBerg Amber Lager,LassBerg,SC
American-Style Amber Lager,Prata,Amber Lager,Naipe Brew,MG
American-Style Amber Lager,Bronze,Vienna - Wolfes Bier,Cervejaria Wolfes Bier,SP
American-Style Amber Light Lager,Ouro,Patanegra Amber Light Lager,Cervejaria Patanegra,PR
American-Style Amber/Red Ale,Ouro,Amber,Hermosa beer company,RS
American-Style Amber/Red Ale,Prata,Barnia Amber Ale,Barnia cervejaria,SP
American-Style Amber/Red Ale,Bronze,BSB Red Ale,Hop Capital Beer,DF
American-Style Barley Wine Ale,Ouro,Balolaine,Salva Craft Beer,RS
American-Style Barley Wine Ale,Prata,Guarda,Landel,SP
American-Style Barley Wine Ale,Bronze,Hunsruck Barley Wine,Cervejaria Hunsruck,RS
American-Style Black Ale,Ouro,Velvet,Ruradélica Ales,RS
American-Style Black Ale,Prata,Hoppy'n Black Brew Up,Brew Up Cervejaria,RS
American-Style Black Ale,Bronze,Cherokee - Black Ipa,Cervejaria cherokee,SC
American-Style Brown Ale,Ouro,Alcabrown,Cerveja Alcatraz,SC
American-Style Brown Ale,Prata,Vale do Contestado,Natural Beer,SC
American-Style Brown Ale,Bronze,Monka Capuchinho,Monka Cervejaria,MG
American-Style Cream Ale,Ouro,Turatti American Lager,Cervejaria Turatti,CE
American-Style Cream Ale,Prata,Aspirante,Cervejaria Almirante,SC
American-Style Cream Ale,Bronze,OPA Bier German,OPA Bier,SC
American-Style Dark Lager,Ouro,N.I.S - Nênes In Schuátz,Cervejaria Karsten,SC
American-Style Dark Lager,Prata,Blackburn,Yellow Bird Brewery,PR
American-Style Dark Lager,Bronze,Rancho Dark Lager,Cervejaria Unika,SC
American-Style Fruit Beer,Ouro,Tô apavorado com morango!,Salva Craft Beer,RS
American-Style Fruit Beer,Prata,Haenschbier Gose com flor de sal e morango,Haenschbier,SC
American-Style Fruit Beer,Bronze,Hermes Goiaba Fruit Beer,Cervejaria Kavalla,PR
American-Style Fruited Sour Ale,Ouro,Cajuzada de morango,Salva Craft Beer,RS
American-Style Fruited Sour Ale,Prata,"Imperial Sour Goiaba, Caju e Maracujá",Marchand Beer Company,SC
American-Style Fruited Sour Ale,Bronze,Sampler - Love Hurts,Sampler,RJ
American-Style Imperial or Double India Pale Ale,Ouro,Víbora Double IPA,Cervejaria Unika,SC
American-Style Imperial or Double India Pale Ale,Prata,Kaingang Double IPA,Kaingang Cervejaria,SC
American-Style Imperial or Double India Pale Ale,Bronze,Double River,Cervejaria Enigma,SC
American-Style Imperial Porter,Ouro,Faroeste Imperial Porter,Cervejaria Faroeste Beer,SC
American-Style Imperial Porter,Prata,Unstopable Truth,Stannis Cervejaria,SC
American-Style Imperial Porter,Bronze,Alpendorf Double American Porter,Alpendorf Cervejaria,RJ
American-Style Imperial Stout,Ouro,Denker - Imperial Stout,Cervejaria Denker,RJ
American-Style Imperial Stout,Prata,Morro da Igreja,Natural Beer,SC
American-Style Imperial Stout,Bronze,Barnia Ris,Barnia cervejaria,SP
American-Style India Pale Ale,Ouro,Monka Babuipa,Monka Cervejaria,MG
American-Style India Pale Ale,Prata,Tombo do Gordo,Cervejaria Divino Malte,PR
American-Style India Pale Ale,Bronze,LassBerg American India Pale Ale,LassBerg,SC
